,ID,Extension,Highest Education
0,1238,569,"PhD (CS), NUCES, Islamabad (2010)"
1,4027,572,"PhD (CS), NUCES, Lahore (2019)"
2,4391,558,"Ph.D(Computing), University of Patras , Greece (2002)"
3,6113,634,"PhD (CS), NUCES, Lahore (2018)"
4,4329,612,"Ph.D (CS), NUCES, Lahore (2014)"
5,6968,558,"PhD (CS), University Teknologi, Malaysia, (2015)"
6,9113,311,"Ph.D (CS), University of Southern, California, United States (2010)"
7,6174,607,"PhD (CS),UPMC (Paris VI ), France, (2012)"
8,9540,635,"Ph.D (CS), Northeastern University, Boston, USA (2014)"
9,5181,595,"PhD (Electronics & Computer Engineering), Hongik University, South Korea (2016)"
10,4261,617,"PhD (CS), NUCES, Lahore (2013)"
11,6048,606,"PhD (Distributed Embedded Systems), University of Nice-Sophia Antipolis, France (2011)"
12,5116,586,"PhD (CS), LUMS, Lahore (2023)"
13,6811,644,"PhD (CS), University of Southern, California (2021)"
14,4236,621,"PhD (Engineering & IT), University of Technology Sydney (UTS), Australia (2023)"
15,6418,597,"PhD (CS), Monash University, Australia (2013)"
16,4335,212,"PhD (CS), University of Connecticut, USA (2016)"
17,6667,614,"PhD (PL), University of Frieburg, Germany (2011)"
18,4677,577,"PhD (CS) NUCES, Lahore (2022)"
19,6562,625,"PhD (CS), ITU, Lahore (2022)"
20,9539,237,"Ph.D(Computer and Control Engineering), Politecno di Torino, Italy (2014)"
21,6273,None,"PhD (CS), ITU, Lahore, 2021"
22,5114,591,"Ph.D (CS), LUMS, Lahore (2016)"
23,6302,247,"PhD (CS), LUMS, Lahore (2018)"
24,6255,553,"PhD (Natural Science), TU Dortmund University, Germany (2016)"
25,5466,562,"Ph.D (CS), LUMS, Lahore (2016)"
26,5424,227,"Ph.D. (Bioengineering), The University of Illinois at Chicago, USA (2012)"
27,3720,559,"MS (CS), NUCES, Lahore (2006)"
28,5054,593,"MS(CS), NUCES, Lahore (2015)"
29,4234,247,"M.S (TE), NUCES, Lahore (2012)"
30,4015,214,"MS(CS), UCP, Lahore (2013)"
31,4507,604,"MS (CS), NUCES, Lahore  (2010)"
32,4239,247,"M.S (EE), NU- Lahore, Pakistan (2013)"
33,5103,414,"MS (E& CE), Hanyang University, South Korea, Republic of (2011)"
34,5221,219,"M.S(CS), FAST-NUCES Lahore, Pakistan (2016)"
35,5115,581,"MS(CS), NUCES, Lahore (2014)"
36,4232,641,"MS (CS), NUCES, Lahore (2007)"
37,5230,618,"MS (CS), NUCES, Lahore (2015)"
38,6172,552,"MS (Software Engineering), NUST, Islamabad (2020)"
39,6311,626,"M PHIL (CS), PUCIT, Lahore (2020)"
40,6379,None,"MS (AI), NUCES, Islamabad (2023)"
41,6924,551,"MS (DS), ITU, Lahore (2023)"
42,6305,633,"MS (CS), NUCES, Lahore (2020)"
43,6723,360,"MS (Data Science), NUCES, Lahore (2023)"
44,6553,642,"MS (CS), UCP, Lahore (2021)"
45,6788,556,"MSc ( Electrical and Computer Engineering),  University of California Irvine, USA (2023)"
46,6274,598,"MS (CS),NUCES, Lahore (2022)"
47,6308,582,"MPhil (CS), PUCIT, Lahore (2019)"
48,6307,620,"MS (CS), NUCES, Lahore (2016)"
49,6551,560,"MS (SE), UET, Taxila (2015)"
50,6419,580,"MS (CS), UCP, Lahore (2022)"
51,6820,594,"MS (Software Project Management), NUCES, Lahore (2008)"
52,6588,603,"MS (DS), NUCES, Karachi (2019)"
53,6277,615,"MS (CS), NUCES, Lahore (2020)"
54,6253,587,"MS (CS), NUCES, Lahore (2021)"
55,6549,602,"MS (CS), UET, Lahore (2019)"
56,6560,629,"MS (CS), NUCES, Lahore (2021)"
57,6295,590,"MS (SPM), NUCES, Lahore (2021)"
58,6415,638,"MS (CS), COMSATS, Lahore (2021)"
59,6114,554,N/A
60,6554,557,"MPhil (CS), PUCIT, Lahore (2019)"
61,5967,592,"MS (CS), NUCES, Lahore, (2020)"
62,6552,637,"MS (CS), LCWU, Lahore (2017)"
63,6268,575,"MS (CS), NUCES, Lahore (2021)"
64,6773,600,"MPhil (CS), PUCIT, Lahore (2023)"
65,5986,570,"MS (EE), NUCES, Lahore (2019)"
66,6171,589,"MS (CS), NUCES, Lahore, (2021)"
67,6719,627,"BS (CS), PU, Lahore (2018)"
68,6925,None,"MS (CS), UCP, Lahore (2022)"
69,6309,304,"MS (CS), LUMS, Lahore (2020)"
70,6559,631,"MPhil (CS), PU, Lahore (2020)"
71,6722,630,"BS (CSE), Islamia University,  Bahawalpur (2015)"
72,6927,600,"MS (SE), UMT, Lahore (2018)"
73,6662,588,"MS (CS), NUCES, Peshawar (2021)"
74,6928,599,"BS (CS), NUCES Lahore (2023)"
75,6791,611,"BS (Computer Science), UMT, Lahore (2015)"
76,6838,630,"BS (Computer Science), NUCES, Chiniot- Faisalabad (2021)"
77,6422,906,"BS (CS), NUCES, Lahore (2018)"
78,6929,632,"BS (CS), NUCES Islamabad (2023)"
79,6767,611,"MSc (CS), COMSATS, Sahiwal (2019)"
80,6718,627,"BS (CS), NUCES, Lahore (2023)"
81,6568,525,"MS (CS), NUCES, Lahore (2021)"
82,6663,632,"BS (EE), NUCES, Lahore (2018)"
83,6943,None,"BS (CS), NUCES, Lahore 2023"
84,6772,None,"MS (CS), NUCES, Lahore (2007)"
85,6770,610,"MS (Computer Science), NUCES, Lahore (2022)"
86,6176,619,"MS (EE), University of Southern California, USA (2001)"
87,6771,610,"MS (CS), NUCES, Lahore (2023)"
88,6558,None,"MS (CS), UCP, Lahore (2020)"
