,ID,Extension,Highest Education
0,4332,283,"PhD (Applied Mathematics), NUCES, Peshawar (2018)"
1,4020,284,"PhD (Mathematics/ Hypergraph Theory), GCU Lahore (2007)"
2,3712,313,"PhD (Mathematics), QAU, Islamabad (2008)"
3,4250,206,"PhD (Environmental Science), PU, Lahore (2015)"
4,4018,227,"PhD (English), AJ&K University, Pakistan (2013)"
5,4584,317,"Ph.D(Mathematics), National University of Computer and Emerging Sciences, Pakistan (2015)"
6,1250,223,"PhD (Mathematics), NUCES Lahore (2020)"
7,4608,340,"MPhil (Applied Mathematics), QAU, Islamabad (2007)"
8,9172,363,"PhD (Mathematics), NUCES, Lahore (2020)"
9,6768,518,"PhD (Linguistics), UMT, Lahore (2021)"
10,5437,442,"PhD (Political Science), PU, Lahore (2022)"
11,6926,526,"PhD (Linguistics), UMT, Lahore, (2022)"
12,9173,226,"PhD (Mathematics), NUCES, Lahore (2020)"
13,4243,412,"PhD (English), A&J University, Pakistan (2013)"
14,4244,432,"MS (Applied Linguistics ), NUCES, Lahore (2017)"
15,4245,310,"MPhil (Applied Linguistics), UMT, Lahore (2013)"
16,5438,249,"MPhil (Pakistan Studies), QAU, Islamabad (2013)"
17,5622,None,"MPhil,hazara university,MANSEHRA(2016)"
18,6555,236,"MPhil (Eng. Lit.), UCP, Lahore (2022)"
19,5203,526,"MPhil (Eng. Ling), Kinnaird College, Lahore (2013)"
20,4397,524,"MPhill (Islamic Studies), Lahore Leads University (2017)"
21,6421,525,"MPhil (Statistics), PU, Lahore (2018)"
22,6365,465,"MS (Mathematics), University of Education, Lahore (2021)"
23,6178,456,"MS (Applied Linguistics), NUCES, Lahore (2021)"
24,6420,456,"MS (Applied Linguistics), NUCES, Lahore (2023)"
25,5795,527,"MPhil (English), UMT, Lahore (2017)"
26,6548,236,"MS (Applied Linguistics), NUCES, Lahore (2022)"
27,5337,525,"MPhil (Statistics), PU, Lahore (2013)"
28,6363,524,"MS (Mathematics), COMSATS, Islamabad (2022)"
29,6567,None,"MPhil (Applied Linguistics), UMT, Lahore (2022)"
